Test ID,Module,Status,Timestamp,Remarks
TID-8710,Sync,Fail,2025-06-17 10:29:53,Timeout
TID-8929,Sync,Pass,2025-06-17 10:42:14,Success
TID-2934,Sync,Pass,2025-06-17 10:53:14,9
TID-5182,Dashboard,Fail,2025-06-17 10:22:35,Timeout
TID-2439,Login,Fail,2025-06-17 10:41:33,7
TID-4736,Reports,Pass,2025-06-17 10:53:30,1
TID-1313,Reports,Pass,2025-06-17 10:42:17,8
TID-8508,Dashboard,Fail,2025-06-17 10:41:50,Timeout
TID-6230,Login,Pass,2025-06-17 10:54:46,Timeout
TID-8841,Reports,Pass,2025-06-17 10:42:57,Timeout
