Test ID,Module,Status,Timestamp,Execution Time
TID-2578,Sync,Fail,2025-06-17 10:46:14,Timeout
TID-8866,Reports,Pass,2025-06-17 10:59:44,Success
TID-9049,Reports,Fail,2025-06-17 10:34:27,4
TID-9714,Sync,Fail,2025-06-17 10:54:35,10
TID-5378,Reports,Fail,2025-06-17 10:15:33,Timeout
TID-3176,Reports,Pass,2025-06-17 10:46:36,10
TID-4425,Dashboard,Pass,2025-06-17 10:50:47,5
TID-1172,Dashboard,Fail,2025-06-17 10:26:30,9
TID-1907,Sync,Pass,2025-06-17 10:21:48,6
TID-8474,Login,Pass,2025-06-17 10:21:52,5
